YEAR,MONTH,LOCATION,SURFACE_WATER_TEMP,MIDDLE_WATER_TEMP,BOTTOM_WATER_TEMP,PH_LEVEL,AMMONIA,NITRATE_NITRITE,PHOSPHATE,DISSOLVED_OXYGEN
2013,1,Aya Talisay,0.770588235294117,0.56910569105691,0.355855855855856,0.652597402597402,0.0201868535201868,0.0026063100137174,0.0696022727272727,0.479367631296891
2013,1,Balakilong Laurel,0.789215686274509,0.56910569105691,0.355855855855856,0.614718614718614,0.0246913580246913,0.0027826768567509,0.0696022727272727,0.540996784565916
2013,1,Bañaga Agoncillo,0.79313725490196,0.56910569105691,0.355855855855856,0.62012987012987,0.0231898565231898,0.0030178326474622,0.0696022727272727,0.519828510182208
2013,1,Berinayan Laurel,0.796078431372549,0.56910569105691,0.355855855855856,0.62012987012987,0.0246913580246913,0.0026063100137174,0.0696022727272727,0.509110396570203
2013,1,Bilibinwang Agoncillo,0.800980392156862,0.56910569105691,0.355855855855856,0.630952380952381,0.0201868535201868,0.0026063100137174,0.0696022727272727,0.603697749196141
2013,1,Buso Buso Laurel,0.790196078431372,0.56910569105691,0.355855855855856,0.652597402597402,0.0201868535201868,0.0026063100137174,0.0696022727272727,0.587084673097534
2013,1,Leviste Laurel,0.7721566843405026,0.627190366417874,0.4061000791007397,0.5705333075750493,0.1257728123227129,0.023902770051386725,0.08638888813023567,0.41938894732587295
2013,1,Manalao Agoncillo,0.7721566843405026,0.627190366417874,0.4061000791007397,0.5705333075750493,0.1257728123227129,0.023902770051386725,0.08638888813023567,0.41938894732587295
2013,1,Mataas na Kahoy,0.786274509803921,0.56910569105691,0.355855855855856,0.630952380952381,0.0201868535201868,0.0026063100137174,0.0696022727272727,0.594051446945337
2013,1,Quiling Talisay,0.7721566843405026,0.627190366417874,0.4061000791007397,0.5705333075750493,0.1257728123227129,0.023902770051386725,0.08638888813023567,0.41938894732587295
2013,1,Sampaloc Talisay,0.78235294117647,0.56910569105691,0.355855855855856,0.630952380952381,0.0216883550216883,0.0027826768567509,0.0696022727272727,0.515005359056806
2013,1,San Isidro Talisay,0.7721566843405026,0.627190366417874,0.4061000791007397,0.5705333075750493,0.1257728123227129,0.023902770051386725,0.08638888813023567,0.41938894732587295
2013,1,San Nicolas,0.801960784313725,0.56910569105691,0.355855855855856,0.658008658008658,0.0216883550216883,0.0026063100137174,0.0696022727272727,0.629153269024651
2013,1,Subic Ilaya Agoncilo,0.800980392156862,0.56910569105691,0.355855855855856,0.668831168831168,0.0216883550216883,0.0027826768567509,0.0696022727272727,0.617899249732047
2013,1,Tanauan,0.781372549019607,0.56910569105691,0.355855855855856,0.630952380952381,0.0201868535201868,0.0026063100137174,0.0696022727272727,0.617363344051447
2013,1,Tumaway Talisay,0.770588235294117,0.56910569105691,0.355855855855856,0.706709956709956,0.0201868535201868,0.0027826768567509,0.0696022727272727,0.530814576634512
2014,1,Aya Talisay,0.658823529411764,0.398373983739837,0.121621621621621,0.49025974025974,0.288288288288288,0.0007642563198118,0.0696022727272727,0.196141479099678
2014,1,Balakilong Laurel,0.661764705882352,0.447154471544715,0.175675675675675,0.49025974025974,0.324324324324324,0.0007642563198118,0.0696022727272727,0.356913183279742
2014,1,Bañaga Agoncillo,0.661764705882352,0.40650406504065,0.175675675675675,0.522727272727272,0.207207207207207,0.0007642563198118,0.0696022727272727,0.429260450160771
2014,1,Berinayan Laurel,0.661764705882352,0.40650406504065,0.175675675675675,0.522727272727272,0.319819819819819,0.0007642563198118,0.0696022727272727,0.405144694533762
2014,1,Bilibinwang Agoncillo,0.661764705882352,0.447154471544715,0.108108108108108,0.49025974025974,0.171171171171171,0.0007642563198118,0.0696022727272727,0.606109324758842
2014,1,Buso Buso Laurel,0.661764705882352,0.447154471544715,0.175675675675675,0.587662337662338,0.162162162162162,0.0007642563198118,0.0696022727272727,0.397106109324758
2014,1,Leviste Laurel,0.7721566843405026,0.627190366417874,0.4061000791007397,0.5705333075750493,0.1257728123227129,0.023902770051386725,0.08638888813023567,0.41938894732587295
2014,1,Manalao Agoncillo,0.7721566843405026,0.627190366417874,0.4061000791007397,0.5705333075750493,0.1257728123227129,0.023902770051386725,0.08638888813023567,0.41938894732587295
2014,1,Mataas na Kahoy,0.748039215686274,0.501355013550135,0.243243243243243,0.697691197691197,0.123123123123123,0.0132275132275132,0.0696022727272727,0.603429796355841
2014,1,Quiling Talisay,0.661764705882352,0.40650406504065,0.162162162162162,0.49025974025974,0.175675675675675,0.0007642563198118,0.0696022727272727,0.172025723472668
2014,1,Sampaloc Talisay,0.661764705882352,0.447154471544715,0.175675675675675,0.49025974025974,0.157657657657657,0.0007642563198118,0.0696022727272727,0.147909967845659
2014,1,San Isidro Talisay,0.7721566843405026,0.627190366417874,0.4061000791007397,0.5705333075750493,0.1257728123227129,0.023902770051386725,0.08638888813023567,0.41938894732587295
2014,1,San Nicolas,0.765441176470588,0.49390243902439,0.192567567567567,0.676948051948052,0.124999999999999,0.0047619047619047,0.0696022727272727,0.563906752411575
2014,1,Subic Ilaya Agoncilo,0.768382352941176,0.538617886178862,0.209459459459459,0.676948051948052,0.137387387387387,0.0074955908289241,0.0696022727272727,0.539790996784566
2014,1,Tanauan,0.761029411764705,0.48780487804878,0.192567567567567,0.645833333333333,0.135135135135135,0.007010582010582,0.0696022727272727,0.638263665594855
2014,1,Tumaway Talisay,0.65,0.40650406504065,0.148648648648649,0.49025974025974,0.144144144144144,0.0007642563198118,0.0696022727272727,0.196141479099678
